TICKER,CNAME,ACTDATS,ESTIMATOR,ANALYS,FPI,MEASURE,VALUE,ANNDATS,REVDATS,FPEDATS,ANNDATS_ACT,ACTUAL
AAPL,APPLE COMPUTER,19950524,7,7932,6,EPS,0.0083,19950524,19960117,19950630,19950720,0.0075
AAPL,APPLE COMPUTER,19950525,407,167,6,EPS,0.0075,19950523,19960118,19950630,19950720,0.0075
AAPL,APPLE COMPUTER,19950525,142,54,6,EPS,0.0072,19950524,19960117,19950630,19950720,0.0075
AAPL,APPLE COMPUTER,19950712,232,740,6,EPS,0.0078,19950711,19960119,19950630,19950720,0.0075
AAPL,APPLE COMPUTER,19950111,114,494,1,EPS,0.0254,19950111,19950113,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950113,192,1830,1,EPS,0.0314,19950113,19950125,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950120,125,146,1,EPS,0.0424,19950120,19950223,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950120,206,7985,1,EPS,0.0422,19950120,19950309,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950120,118,1765,1,EPS,0.042,19950120,19950327,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950120,28,1997,1,EPS,0.0366,19950120,19950420,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950120,86,585,1,EPS,0.0312,19950120,19950421,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950120,29,9077,1,EPS,0.0451,19950120,19950502,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950120,308,677,1,EPS,0.0384,19950120,19950522,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950120,7,7932,1,EPS,0.0411,19950120,19950523,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950123,232,740,1,EPS,0.0415,19950120,19950323,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950123,114,494,1,EPS,0.0379,19950123,19950324,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950123,94,965,1,EPS,0.0384,19950123,19950407,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950123,933,9514,1,EPS,0.0415,19950123,19950412,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950123,39,678,1,EPS,0.0406,19950123,19950417,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950123,142,54,1,EPS,0.0379,19950123,19950427,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950123,241,3810,1,EPS,0.0379,19950123,19950519,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950124,11,938,1,EPS,0.0402,19950124,19950307,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950124,811,4363,1,EPS,0.0393,19950124,19950417,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950124,37,9236,1,EPS,0.0348,19950124,19950421,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950124,68,18367,1,EPS,0.0402,19950124,19950505,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950127,192,1830,1,EPS,0.0382,19950127,19950425,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950130,183,4684,1,EPS,0.0402,19950130,19950420,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950130,158,9620,1,EPS,0.0357,19950130,19950919,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950131,100,9486,1,EPS,0.0433,19950131,19950313,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950201,215,685,1,EPS,0.0335,19950201,19950302,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950203,210,71682,1,EPS,0.0424,19950203,19950614,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950216,189,5668,1,EPS,0.0406,19950214,19950314,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950224,211,4299,1,EPS,0.0464,19950223,19950328,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950228,125,146,1,EPS,0.0426,19950228,19950427,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950303,215,685,1,EPS,0.0357,19950303,19950309,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950306,229,31901,1,EPS,0.0411,19950306,19950501,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950310,215,685,1,EPS,0.0379,19950310,19950331,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950314,100,9486,1,EPS,0.042,19950314,19950420,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950315,189,5668,1,EPS,0.0388,19950315,19950420,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950315,1388,9514,1,EPS,0.0384,19950315,19950425,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950317,206,7985,1,EPS,0.0407,19950317,19950419,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950321,863,30168,1,EPS,0.0442,19950321,19950426,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950324,11,938,1,EPS,0.0394,19950324,19950410,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950324,232,740,1,EPS,0.0388,19950324,19950711,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950328,118,1765,1,EPS,0.0397,19950328,19950424,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950329,211,4299,1,EPS,0.0428,19950329,19950418,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950404,114,494,1,EPS,0.0366,19950404,19950419,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950404,215,685,1,EPS,0.0335,19950404,19950609,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950418,39,678,1,EPS,0.0393,19950418,19950508,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950419,211,4299,1,EPS,0.0435,19950417,19950503,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950419,94,965,1,EPS,0.04,19950419,19950517,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950421,100,9486,1,EPS,0.0371,19950421,19950712,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950421,28,1997,1,EPS,0.0335,19950421,19950721,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950421,114,494,1,EPS,0.0343,19950421,19950822,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950424,86,585,1,EPS,0.0299,19950421,19950504,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950424,206,7985,1,EPS,0.0369,19950424,19950608,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950424,183,4684,1,EPS,0.0397,19950424,19950720,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950424,37,9236,1,EPS,0.0357,19950424,19950721,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950424,189,5668,1,EPS,0.0353,19950424,19950807,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950425,118,1765,1,EPS,0.0366,19950424,19950712,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950425,11,938,1,EPS,0.035,19950425,19950606,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950426,192,1830,1,EPS,0.0396,19950426,19950720,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950427,863,30168,1,EPS,0.0379,19950427,19950721,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950501,811,4363,1,EPS,0.0357,19950501,19950718,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950501,125,146,1,EPS,0.0386,19950501,19950720,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950501,1388,9514,1,EPS,0.0371,19950501,19960513,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950502,229,31901,1,EPS,0.0371,19950502,19950727,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950504,211,4299,1,EPS,0.0367,19950502,19950823,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950505,86,585,1,EPS,0.0326,19950505,19950720,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950509,39,678,1,EPS,0.0375,19950509,19950721,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950516,68,18367,1,EPS,0.0357,19950515,19951010,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950517,933,9514,1,EPS,0.0379,19950517,19950713,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950518,94,965,1,EPS,0.0353,19950518,19950731,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950523,308,677,1,EPS,0.0366,19950523,19950720,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950523,241,3810,1,EPS,0.0357,19950523,19950725,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950524,7,7932,1,EPS,0.0387,19950524,19950524,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950525,407,167,1,EPS,0.0357,19950523,19950525,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950525,142,54,1,EPS,0.0353,19950524,19950719,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950525,7,7932,1,EPS,0.0364,19950525,19950620,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950605,29,9077,1,EPS,0.0371,19950605,19950719,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950612,215,685,1,EPS,0.0424,19950612,19950712,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950620,210,71682,1,EPS,0.0379,19950620,19950731,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950621,7,6867,1,EPS,0.0387,19950621,19950623,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950626,7,6867,1,EPS,0.0364,19950626,19950720,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950627,11,938,1,EPS,0.0357,19950627,19950720,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950712,232,740,1,EPS,0.0362,19950711,19950720,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950713,100,9486,1,EPS,0.0375,19950713,19950721,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950714,215,685,1,EPS,0.0375,19950714,19950721,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950720,29,9077,1,EPS,0.0385,19950720,19950721,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950721,118,9742,1,EPS,0.0357,19950721,19950914,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950721,125,8487,1,EPS,0.0365,19950721,19950915,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950721,86,9900,1,EPS,0.0335,19950721,19950915,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950721,308,677,1,EPS,0.0353,19950721,19950919,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950724,183,4684,1,EPS,0.0377,19950724,19950901,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950724,232,740,1,EPS,0.0353,19950724,19950913,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950724,100,9486,1,EPS,0.0369,19950724,19950914,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950724,215,685,1,EPS,0.0339,19950724,19950915,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950724,7,6867,1,EPS,0.0343,19950724,19950915,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950724,37,9236,1,EPS,0.0339,19950724,19950918,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950724,28,1997,1,EPS,0.0344,19950724,19951004,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950725,863,30168,1,EPS,0.0346,19950725,19950914,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950726,29,9077,1,EPS,0.0362,19950726,19950907,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950726,39,678,1,EPS,0.0357,19950726,19951003,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950727,241,3810,1,EPS,0.0348,19950725,19950830,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950727,811,4363,1,EPS,0.0339,19950727,19950913,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950727,142,54,1,EPS,0.0366,19950727,19950918,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950731,873,71723,1,EPS,0.0347,19950731,19950914,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950801,229,31901,1,EPS,0.0366,19950731,19951010,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950803,11,938,1,EPS,0.0353,19950802,19950913,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950808,189,5668,1,EPS,0.033,19950803,19950918,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950810,210,71682,1,EPS,0.0357,19950810,19950907,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950816,933,9514,1,EPS,0.0351,19950816,19950914,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950821,191,9834,1,EPS,0.0366,19950821,19950918,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950823,192,1830,1,EPS,0.0371,19950821,19950918,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950823,94,965,1,EPS,0.0362,19950823,19950914,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950824,211,4299,1,EPS,0.0349,19950824,19950830,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950824,407,167,1,EPS,0.0348,19950824,19950907,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950830,54,689,1,EPS,0.0366,19950829,19950918,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950831,241,3810,1,EPS,0.0369,19950830,19950914,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950831,211,4299,1,EPS,0.0346,19950831,19950915,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950906,183,4684,1,EPS,0.037,19950905,19950915,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950912,114,494,1,EPS,0.0352,19950911,19950912,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950914,232,740,1,EPS,0.033,19950914,19950914,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950915,100,9486,1,EPS,0.032,19950915,19960507,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950915,863,30168,1,EPS,0.0321,19950915,19970924,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950915,873,71723,1,EPS,0.0288,19950915,19971017,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950915,118,33091,1,EPS,0.0312,19950915,19971017,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950918,210,71682,1,EPS,0.0321,19950918,19950925,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950918,811,4363,1,EPS,0.0299,19950918,19960617,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950918,114,494,1,EPS,0.0281,19950918,19960627,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950918,241,3810,1,EPS,0.0317,19950918,19970310,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950918,86,9900,1,EPS,0.0312,19950918,19970318,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950918,232,740,1,EPS,0.0299,19950918,19970428,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950918,183,4684,1,EPS,0.029,19950918,19971016,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950918,125,8487,1,EPS,0.0302,19950918,19971016,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950918,11,938,1,EPS,0.0312,19950918,19971016,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950918,407,167,1,EPS,0.031,19950918,19971017,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950918,215,685,1,EPS,0.0304,19950918,19971017,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950918,211,4299,1,EPS,0.031,19950918,19971017,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950918,94,965,1,EPS,0.0281,19950918,19971017,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950918,7,6867,1,EPS,0.0289,19950918,19971017,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950919,189,5668,1,EPS,0.0308,19950919,19960521,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950919,933,9514,1,EPS,0.0306,19950919,19971015,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950919,29,9077,1,EPS,0.0295,19950919,19971016,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950919,37,9236,1,EPS,0.029,19950919,19971017,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950920,308,677,1,EPS,0.0303,19950920,19960723,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950920,142,54,1,EPS,0.0296,19950920,19971015,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950920,191,9834,1,EPS,0.0305,19950920,19971017,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950920,54,689,1,EPS,0.0314,19950920,19971017,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950922,192,1830,1,EPS,0.0331,19950922,19971017,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19951005,28,1997,1,EPS,0.0308,19951005,19971017,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19951011,229,31901,1,EPS,0.0344,19951011,19971017,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19951016,68,18367,1,EPS,0.0289,19951016,19971017,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19951017,158,9620,1,EPS,0.0295,19951017,19960430,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19951017,39,678,1,EPS,0.034,19951017,19971017,19950930,19951018,0.0301
AAPL,APPLE COMPUTER,19950721,118,9742,6,EPS,0.0101,19950721,19950914,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950721,125,8487,6,EPS,0.0107,19950721,19950915,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950721,308,677,6,EPS,0.0095,19950721,19950919,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950724,183,4684,6,EPS,0.0097,19950724,19950901,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950724,232,740,6,EPS,0.0098,19950724,19950913,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950724,7,6867,6,EPS,0.0085,19950724,19950915,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950724,189,5668,6,EPS,0.0073,19950724,19950918,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950724,28,1997,6,EPS,0.009,19950724,19951004,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950725,863,30168,6,EPS,0.0086,19950725,19950914,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950726,39,678,6,EPS,0.0091,19950726,19950731,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950731,873,71723,6,EPS,0.0094,19950731,19950914,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950801,37,9236,6,EPS,0.0085,19950801,19950918,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950802,39,678,6,EPS,0.0092,19950802,19950906,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950816,933,9514,6,EPS,0.0085,19950816,19950914,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950821,191,9834,6,EPS,0.01,19950821,19950918,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950823,192,1830,6,EPS,0.0094,19950821,19950918,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950824,211,4299,6,EPS,0.0089,19950824,19950830,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950831,211,4299,6,EPS,0.008,19950831,19950915,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950906,183,4684,6,EPS,0.0083,19950905,19950915,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950907,39,678,6,EPS,0.0091,19950907,19951003,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950912,114,494,6,EPS,0.0094,19950911,19950912,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950914,232,740,6,EPS,0.0076,19950914,19950914,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950915,873,71723,6,EPS,0.0036,19950915,19960419,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950915,863,30168,6,EPS,0.0067,19950915,19960419,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950915,118,33091,6,EPS,0.006,19950915,19960419,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950915,100,9486,6,EPS,0.0054,19950915,19960419,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950918,407,167,6,EPS,0.0046,19950918,19960412,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950918,94,965,6,EPS,0.0027,19950918,19960416,19950930,19951018,0.0043
